superkingdom	phylum	class	order	sample1	sample2	sample3	sample4	sample5
Bacteria	Proteobacteria	Chromatiales	Gammaproteobacteria	721.0	632.0	1095.0	1568.0	824.0
Bacteria	Proteobacteria	Desulfarculales	Deltaproteobacteria	23.0	31.0	36.0	38.0	49.0
Bacteria	Proteobacteria	Desulfobacterales	Deltaproteobacteria	671.0	673.0	1134.0	1193.0	1821.0
Bacteria	Proteobacteria	Desulfovibrionales	Deltaproteobacteria	355.0	341.0	598.0	568.0	618.0
Bacteria	Proteobacteria	Desulfurellales	Deltaproteobacteria	11.0	23.0	16.0	36.0	31.0
Bacteria	Proteobacteria	Desulfuromonadales	Deltaproteobacteria	737.0	1797.0	7280.0	5377.0	6440.0
Bacteria	Proteobacteria	Enterobacterales	Gammaproteobacteria	53579.0	42124.0	70988.0	223014.0	183019.0
Bacteria	Proteobacteria	Ferrovales	Betaproteobacteria	81.0	58.0	192.0	66.0	56.0
Bacteria	Proteobacteria	Gallionellales	Betaproteobacteria	1160.0	752.0	3783.0	4238.0	1696.0
Bacteria	Proteobacteria	Holosporales	Alphaproteobacteria	38.0	44.0	138.0	128.0	203.0
Bacteria	Proteobacteria	Hydrogenophilales	Betaproteobacteria	261.0	256.0	434.0	300.0	198.0
Bacteria	Proteobacteria	Immundisolibacterales	Gammaproteobacteria	6.0	22.0	26.0	22.0	0
Bacteria	Proteobacteria	Kiloniellales	Alphaproteobacteria	26.0	12.0	20.0	28.0	13.0
